You met him at the university?	あなたは大学で彼に会いましたか？
As the plane was approaching turbulence, the pilot asked the passengers aboard the plane to fasten their seat belts.	飛行機が乱気流に近づいたとして、パイロットは自分のシートベルトを締めるために飛行機に乗って乗客を尋ねました。
There is a fine line between speech that is terse and to the point and speech that is too abrupt.	簡潔かつあまりにも急激である点と、音声にあるスピーチの間に微妙な境界線があります。
Though his stay in Europe was transient, Spenser felt he had learned much more about interactions with other people from traveling than he did at college.	ヨーロッパでの彼の滞在が一時でしたが、スペンサーは、彼は大学でやったよりも、旅からずっと他の人々との相互作用について学んでいたと感じました。
Jason was a taciturn individual, so it was always a real surprise when he said anything.	ジェイソンは無口個人だったので、彼が何を言ったとき、それは常に本当の驚きでした。
The king was tired of his sycophants always praising him, so he sent them away.	彼はそれらを離れて送信されるので、王は、常に彼を賞賛し、彼sycophantsのに疲れました。
Spenser would not tell anyone his surreptitious plan to get back at his friends for pranking him.	スペンサーは彼をprankingために彼の友人で取り戻すために、誰の彼の内密の計画を教えてくれないでしょう。
If Spenser doesn't keep adding and translating sentences, the other contributors will surely surpass him.	スペンサーは、文章を追加し、翻訳守らない場合は、他の貢献者は、確かに彼を上回るだろう。
There was always too much superfluous writing in his essays.	彼のエッセイでも多くの余分な書き込みが常にありました。
His essay gave only a superficial analysis of the problem, so it was a real surprise to him when he got the highest grade in the class.	彼のエッセイは、問題のうわべだけの分析を行いましたので、彼はクラス最高の成績を得たとき、それは彼の本当の驚きでした。
It depends what you mean by "believe" in God.	それはあなたが神に「信じる」によって何を意味するかによって決まります。
Professors should explain everything in detail, not be succinct and always tell students to go home and read their books.	教授は、詳細にすべてを説明簡潔にならないといつも家に行き、自分の本を読むために学生を教えてください。
If I gave no answer, I would not have spoken.	私は答えなかった場合、私は話さなかったでしょう。
Prosecutors in court have to substantiate their claims in order to prove a suspect is guilty.	法廷で検察は容疑者が有罪であることを証明するために、彼らの主張を立証する必要があります。
The people who come on the Maury Povich show often make pretentious claims about their lovers cheating on them.	モーリーPovichショーに来る人たちは、多くの場合、彼らの愛好家が彼らの上に不正行為についての大げさ主張をします。
It is a prevalent belief, according to a nationwide poll in the United States, that Muslims are linked with terrorism.	それはイスラム教徒がテロにリンクされていることを、米国では全国世論調査によると、流行の信念です。
My roommate is prodigal when it comes to spending money on movies; he buys them the day they're released, regardless of price.	それは映画にお金を費やすことになると私のルームメイトは放蕩です。彼は関係なく、価格の、彼らがリリースされている日を買います。
The profane language used on network television makes many parents with young children not want to subscribe to cable.	ネットワークテレビで使用不敬言語は、幼い子供を持つ多くの親は、ケーブルに加入したくないことができます。
Freud's insights into human behavior led to him being honored as a profound thinker.	彼に導いた人間の行動にフロイトの洞察が深い思想家として表彰されています。
Food and drink were served in such profusion at the wedding that the bride and groom began to wonder if they should not have invited more guests.	食べ物や飲み物は、彼らがより多くのゲストを招待してはいけない場合は、新郎新婦が不思議に始めた結婚式で、このような豊富で楽しめました。
The proliferation of Internet usage has given birth to a new generation of young people.	インターネット利用の普及は、若者の新しい世代を出産しました。
My friends say I'm a prolific writer, but I haven't written anything for months.	私の友人は、私は多作の作家だと言うが、私は数ヶ月のために何を書いていません。
Blind people sometimes develop a compensatory ability to sense the proximity of objects around them.	盲目の人々は時々彼らの周りの物体の接近を感知する代償能力を開発しています。
A miser hoards money not because he is prudent but because he is greedy.	彼は慎重であるため、彼は貪欲であるため、守銭奴がお金を貯め込むありません。
When both girls told John they had feelings for him, he was in a quandary as to which girl he should be with.	両方の女の子は、彼らが彼のために感情を持っていたジョンに話したとき、彼は彼があるべき少女へと困惑していました。
Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union.	今でも、冷戦後の多くの年は、ロシアとドイツ人の間に多くの恨みは特にかつてソ連の占有面積では、依然として存在しています。
The defense lawyer was confident that he would be able to answer the prosecutor's arguments in his rebuttal.	弁護人は、彼が彼の反論に検察官の主張に答えることができるだろうと確信していました。
Johnson is a recluse; he prefers to isolate himself from the rest of the students in our class.	ジョンソンは世捨て人です。彼は、私たちのクラスの生徒の残りの部分から自分自身を隔離することを好みます。
Teachers must get tired of rectifying the same mistakes over and over again in their students' papers.	教師は生徒の論文で何度も何度も同じ過ちを整流飽きなければなりません。
The bottles of beer that I brought to the party were redundant; the host's family owned a brewery.	私はパーティーにもたらしたビールのボトルは冗長でした。ホストの家族は醸造所を所有していました。
The witnesses were able to refute the false testimony of the suspect.	目撃者は、容疑者の虚偽証言に反論することができました。
The guild leader relegated Vince to a lesser officer because he was abusing his power.	彼は彼の力を乱用したため、ギルドリーダーが低い役員にヴィンスを追いやら。
Joan of Arc refused to renounce her belief that the voice she heard was from God and none other.	ジャンヌ・ダルクは、彼女が聞いた声は、神と他でもないからだったことを彼女の信念を放棄することを拒否しました。
Shocked by the events of September 11th, politicians all over the world condemned the terrorists for their reprehensible deed.	9月11日のイベントにショックを受け、世界中の政治家は彼らの非難すべき行為のためにテロリストを非難しました。
James had a great fear of making mistakes in class and being reprimanded.	ジェームズは、クラスでミスをして叱責されているの偉大な恐怖を持っていました。
The principal severely reproved the students whenever they made a mess in the hallway.	彼らは廊下での混乱を作ったときに校長は厳しく学生を責め。
My parents would repudiate my brother if they ever found out he was gay.	彼らはこれまで彼がゲイだった見つけた場合は私の両親は私の弟を否認します。
In order to keep his original idea from being copied, Henry resorted to reticence.	コピーされることから、彼のオリジナルのアイデアを保つために、ヘンリーは無口に頼っ。
I would like to retract my previous statement.	私は私の以前の声明を撤回したいと思います。
To win his audience, the speaker resorted to using rhetorical techniques he learned from his communication courses.	彼の聴衆を獲得するには、スピーカーは、彼が彼の通信講座から学んだ修辞技法を使用してに頼っ。
His father would never sanction his engagement to a girl who did not share the same religious beliefs as their family.	彼の父は自分の家族と同じ宗教的信念を共有していなかった女の子に彼の婚約を制裁することはありません。
Tim is a huge fan of satirical comedy.	ティムは風刺喜劇の大ファンです。
Though Alfred is scrupulous in fulfilling his duties at work, he is less conscientious about his obligations at home.	アルフレッドが仕事で彼の義務を果たすには細心ですが、彼は自宅で彼の義務についてはあまり良心的です。
Spenser's mother often scrutinizes him for every small mistake he makes.	スペンサーの母親は、多くの場合、彼が行うすべての小さなミスのために彼を精査します。
All the king's subjects, fearing his wrath, often acted quite servile.	すべての王の被験者は、彼の怒りを恐れ、しばしば非常に卑屈な行動しました。
People are often quite skeptical about things unless given believable proof.	人々はしばしば与えられた信じられない証明しない限り、物事について非常に懐疑的です。
From the doctor's grim expression, it was clear he had somber news for the patient.	医師の厳しい表現から、彼が患者のための地味なニュースを持っていた明らかでした。
I always have to check my yard for stagnant pools of water so mosquitoes don't breed there.	私はいつも蚊が繁殖しないように水の停滞プールのために私の庭をチェックする必要があります。
Sometimes he has difficulties with being articulate about his views.	時々、彼は彼の見解についての明確さと難しさを持っています。
Peter was an altruistic video game player; he would give items to people who needed them, rather than selling them for personal profit.	ピーターは利他的なビデオゲームのプレーヤーでした。彼はむしろ個人的な利益のためにそれらを販売するよりも、それらを必要な人にアイテムを与えるだろう。
Jimmy tried to cajole his parents into letting him drive across the country with his friends.	ジミーは彼が彼の友人と全国の運転させるに彼の両親を丸めることを試みました。
Censorious people delight in casting blame.	厳しい人は責任をキャストに喜び。
Pop artists thrive on the adulation of their loyal fans.	ポップアーティストが自分の忠実なファンのお世辞に繁栄します。
We must learn to meet adversity gracefully.	私たちは、優雅に会う逆境に学ばなければなりません。
Bill Clinton spoke in ambiguous language when asked to describe his relationship with Monica Lewinsky.	モニカ・ルインスキーと彼の関係を記述するために尋ねられたとき、ビル・クリントンは、あいまいな言語で話しました。
He was a benevolent old man who volunteered to mow his neighbors' lawns for free.	彼は自由のための彼の隣人の芝生を刈るために自ら申し出慈悲深い老人でした。
His stern tone and loud voice belied his inner sensitivity and caring nature.	彼の船尾トーンと大きな声が彼の内側の感度と思いやりのある自然を偽り。
The wealthy, self-indulgent young man felt oddly drawn to the strict, ascetic life led by members of some monastic orders.	裕福な、わがままな若い男が妙にいくつかの修道会のメンバーが率いる厳格な、禁欲的な生活に描かれたと感じました。
The statue of the Minute Man commemorates the valiant soldiers who fought in the Revolutionary War.	ミニッツマンの銅像は、独立戦争で戦った勇敢な兵士を記念します。
Baffled by Sherlock Holmes' cryptic remarks, Watson wondered whether Holmes was intentionally concealing his thoughts about the crime.	シャーロック・ホームズの謎めいた発言に困惑、ワトソンはホームズが意図的に犯罪についての彼の考えを隠したかどうかを疑問に思いました。
What criterion did you use when you elected this essay as the winner?	あなたが勝者としてこのエッセイを選出するとき、あなたはどのような基準を使用しましたか？
Con artists take advantage of the credulity of inexperienced investors and swindle them out of their money.	詐欺師は、経験の浅い投資家の盲信を活用し、彼らのお金のそれらを詐欺します。
I cannot dance one single step of Salsa.	私はサルサの1つのステップを踊ることができません。
Even if your sentences were actually senseless, you at least have the luck to be able to form beautiful sentences.	あなたの文章は、実際に無意味だったとしても、あなたは少なくとも、美しい文章を形成することができるように運を持っています。
I like my job very much.	私は非常に私の仕事が好き。
Ray was willing to corroborate Gary's story, but the police were still unconvinced that either of them were telling the truth.	レイはゲイリーの話を裏付けるて喜んでいたが、警察はまだそれらのいずれかが真実を語ったことを納得しました。
The murderer was convicted and sentenced to life in prison.	殺人者は有罪となり、刑務所での生活を言い渡されました。
Sometimes hockey players get so competitive that fights break out.	時には、ホッケー選手が戦いを抜け出すように競争力を得ます。
There was a feeling of constraint in the room; no one dared to tell the king how foolish his decision was.	客室内に制約の感がありました。誰が彼の決定がいかに愚かな王に伝えるためにあえて。
The consensus indicates that we are opposed to the proposed idea.	コンセンサスは、我々が提案したアイデアに反対していることを示しています。
A small forest fire can easily spread and quickly become a great conflagration.	小さな森林火災が広がりやすく、すぐに偉大な大火になることができます。
Even though he had served his time in prison, the murderer was never quite condoned by the public for his crime.	彼は刑務所で彼の時間を務めていたにもかかわらず、殺人犯はかなり彼の罪のために国民が容認されませんでした。
I find words with concise definitions to be the easiest to remember.	私は簡潔な定義を持つ単語は覚えが最も容易であることがわかりました。
He was still mad about the accident despite his wife's conciliatory words.	彼は妻の融和言葉にもかかわらず、まだ事故について怒っていました。
A cursory examination of his teeth indicated that he had gingivitis.	彼の歯のぞんざいな検査は、彼が歯肉炎を有することを示しました。
It was a surprise to see all the students behaving with decorum on prom night.	プロムの夜に礼儀作法に行動するすべての学生を見て驚きました。
The news article painted the defendant as a guilty man, even though he had been proven innocent.	ニュース記事は、彼が無実が証明されていたにも関わらず、罪を犯した男として被告を描きました。
The politician pushed for reform by denouncing the corruption of the government officials.	政治家は、政府高官の腐敗を糾弾することで改革を推進しました。
The depravity of the king's deeds lead the people to believe he was nothing more than a tyrant that needed to be overthrown.	王の行為の堕落は、人々は、彼がより打倒するために必要な暴君よりも何もなかったと信じてつながります。
I dreamt about you.	私はあなたについて夢見ていました。
I have to get a new computer.	私は新しいコンピュータを取得する必要があります。
I won't lose!	私は失うことはありません！
I was late to school.	私は学校に遅れました。
Classes are starting again soon.	クラスはすぐに再び開始されます。
I think I'm gonna sneeze. Give me a tissue.	私はくしゃみつもりだと思います。私に組織を与えます。
For a moment there, I thought he had gone mad.	そこに今のところ、私は彼がなくなって怒っていたと思いました。
This day was just a waste of time and money.	この日は、時間とお金の無駄でした。
It caught me off guard; I didn't know what to do.	それは油断私を捕まえ、私は何をすべきかを知りませんでした。
But you've never told me about this!	しかし、あなたはこのことについて私に言ったことがありません！
I've changed my website's layout.	私は私のウェブサイトのレイアウトを変更しました。
When we are small, everything seems so big.	私たちが小さいとき、すべてがとても大きいようです。
He won't beat me.	彼は私を打つことはありません。
I have to do laundry while it's still sunny.	私はそれはまだ晴れだながら洗濯をしなければなりません。
Sorry, I don't think I'm gonna be able to.	申し訳ありませんが、私は私のことができるようつもりだとは思いません。
You had plenty of time.	あなたはたくさんの時間を持っていました。
Stop criticizing me!	私を批判停止！
Come on! Talk to me, Trang.	いい加減にして！ 、私にはトランを話します。
I'm almost done.	私はほとんど行われています。
Take the other chair!	他の椅子を持っていこう！
How many sandwiches are there left?	どのように多くのサンドイッチが残っていますか？
I'm not inspired anymore.	私はもう触発ありませんよ。
I won't lower myself to his level.	私は彼のレベルに自分自身を下げないであろう。
We could see the sunset from the window.	私たちは窓から夕日を見ることができました。
It's driving me crazy.	それは私が狂いそうです。
Did you say that I could never win?	あなたは私が勝つことができませんでしたことを言いましたか？
It's all dark outside.	これは、すべての暗いの外です。
What happened? There's water all over the apartment.	どうした？水はすべてのアパートの上にあります。
During summer breaks, I ate dinner at midnight.	夏休みの間に、私は深夜に夕食を食べました。
You can finish your essay now.	今、あなたのエッセイを仕上げることができます。
You will say and do things your parents said and did, even if you swore you would never do them.	あなたは、あなたがそれらを行うことはないと誓った場合でも、言うと、あなたの両親が言ったとやった事を行います。
I am alive even though I am not giving any sign of life.	私は人生の兆候を与えていない午前にもかかわらず、生きています。
Never try to die.	死ぬことを試みることはありません。
I am too old for this world.	私はこの世界のためにあまりにも古いです。
Life begins when we realize who we really are.	私たちは本当に誰であるかを実現するときの生活が始まります。
Life starts when you decide what you are expecting from it.	あなたはそれから期待しているかを決定する際に生命が開始されます。
Life begins when you pay taxes.	あなたは税金を払うとき人生が始まります。
What you don't have is better than what you do have.	あなたが持っていないことは、あなたが持っているものよりも優れています。
Life begins when you're ready to live it.	あなたはそれを生きるする準備ができたら生活が始まります。
It is never too late to learn.	学ぶことが遅すぎるということはありません。
It's just five in the morning, but nevertheless it is light out.	それはちょうど5朝のだが、それにもかかわらず、それは光の出ています。
He told me the story of his life.	彼は私に彼の人生の物語を語りました。
I never said I was fragile.	私は壊れやすいと言ったことはありません。
I wonder if I am made for this world.	私はこの世界のために作られていた場合、私は疑問に思います。
What are you talking about?	あなたは何について話していますか？
I want a piece of candy.	私はキャンディが欲しいです。
I knew that today would be fun.	私は今日は楽しいだろうことを知っていました。
A child is not a vessel for filling, but a fire to light.	子供は充填用容器が、光に火災ではありません。
Sadly many people will believe things told to them via an email which they would find implausible face-to-face.	悲しいことに、多くの人々は、彼らが信じがたい顔を見つけると電子メールを介してそれらに話した事を信じています。
It might sound far-fetched, but this is a real problem.	それはこじつけに聞こえるかもしれないが、これは本当の問題です。
The police are really good at understanding "Someone stole my credit card and ran up a lot of charges." It's a lot harder to get them to buy into "Someone stole my magic sword."	警察は理解するのが本当に良いです「誰かが私のクレジットカードを盗んだと費用の多くを駆け上がりました。」それは中にそれらを買うために得るために多くの困難だ「誰かが私の魔法の剣を盗みました。」
When are we eating? I'm hungry!	とき、私たちは食べていますか？お腹が空きました！
I have class tomorrow.	明日は、クラスを持っています。
I can't believe it!	私はそれを信じられません！
Thank you. "You're welcome."	ありがとうございました。 "どういたしまして。"
How do you pronounce "pronounce"?	どのようにして、「発音」を発音するの？
Winter is my favorite season.	冬は私の好きな季節です。
It's difficult to have great ideas.	それは素晴らしいアイデアを持ってすることは困難です。
The data suggest that the optimum length of a lecture may be 30 instead of 60 minutes.	データは、講義の最適な長さは、30の代わりに60分であり得ることを示唆しています。
I tend to look at the pictures before reading the text.	私はテキストを読む前に、写真を見てする傾向があります。
I learned a lot from you.	私はあなたから多くのことを学びました。
We walked a lot.	私たちは多くのことを歩きました。
I spent twelve hours on the train.	私は電車の中で12時間を費やしました。
She got sick this weekend.	彼女は、この週末に病気になりました。
Hold on, someone is knocking at my door.	誰かが私のドアをノックされ、上のホールド。
He's rich. He doesn't need money!	彼は金持ちです。彼はお金を必要としません！
He's sleeping like a baby.	彼は赤ん坊のように眠っています。
They're making too much noise. I can't concentrate.	彼らはあまりにも多くのノイズを作っています。私は集中できません。
I want a massage. I need to relax.	私はマッサージをしたいです。リラックスしたい。
You're sick. You have to rest.	あなたは病気です。少し休息取ったほうがいいわ。
There's a secret path on the left.	左側の秘密のパスがあります。
Smith has spent years studying the effects of sleep and sleep loss on memory and learning.	スミスは、記憶や学習上の睡眠と睡眠不足の影響を検討する年を過ごしました。
She's asking for the impossible.	彼女は不可能を求めています。
He disappeared without a trace.	彼は跡形もなく消えてしまいました。
I can place the palms of my hands on the floor without bending my knees.	私は私の膝を曲げずに床に私の手の手のひらを置くことができます。
There cannot be progress without communication.	通信なしで進行が存在することはできません。
Everyone would like to believe that dreams can come true.	誰もが夢を実現できると信じてしたいと思います。
The best way to make your dreams come true is to wake up.	あなたの夢をかなえるための最善の方法は、目を覚ますことです。
The world doesn't revolve around you.	世界はあなたの周りを公転しません。
The world is full of fools.	世界は愚か者でいっぱいです。
Are you saying my life is in danger?	あなたは私の人生は危険であると言っていますか？
Do you have any idea what my life is like?	あなたは私の人生はどのようなものであるか任意のアイデアを持っていますか？
This place has a mysterious atmosphere.	この場所は神秘的な雰囲気を持っています。
I look forward to hearing your thoughts on this matter.	私はこの問題について自分の考えをお待ちしております。
So what if I am gay? Is it a crime?	だから私はゲイの何ですか？それは犯罪ですか？
My life is hollow without him.	私の人生は彼なしで中空です。
I don't want to fail my exams.	私は試験に失敗したくありません。
