Let's try something.	さんが何かを試してみましょう。
That's the stupidest thing I've ever said.	それは私が今まで言ってきた愚かなことです。
I don't want to be lame; I want to be cool!!	私はラメにしたくありません。私はクールになりたいです！
When I grow up, I want to be a king.	私が育つとき、私は王になりたいです。
America is a lovely place to be, if you are here to earn money.	あなたがお金を稼ぐためにここにいるならばアメリカは、なるように素敵な場所です。
I'm so fat.	私はとても太っています。
So what?	だから何？
I'm gonna shoot him.	私は彼を撃つつもりです。
I'm not a real fish, I'm just a mere plushy.	私は単なるplushyよ、本当の魚ではありませんよ。
I'm just saying!	言ってるだけ！
That was probably what influenced their decision.	それは彼らの決定に影響を与えたものを、おそらくでした。
I've always wondered what it'd be like to have siblings.	私はいつもそれが兄弟を持っているようなものだろうかと思ってきました。
This is what I would have said.	これは私が言っていたものです。
It would take forever for me to explain everything.	私はすべてを説明することは永遠にかかるだろう。
That's because you're a girl.	あなたは女の子だからです。
Sometimes I can't help showing emotions.	時々私は感情を示す助けることができません。
It's a word I'd like to find a substitute for.	それは私がの代わりを見つけるしたい単語です。
It would be something I'd have to program.	それは私がプログラムに必要があるだろうものになるだろう。
I don't intend to be selfish.	私は利己的であることを意図していません。
Let's consider the worst that could happen.	さんが起こりうる最悪の事態を考えてみましょう。
How many close friends do you have?	どのくらい親しい友人お持ちですか？
I may be antisocial, but it doesn't mean I don't talk to people.	私は反社会的かもしれないが、それは私が人々に話をしないという意味ではありません。
This is always the way it has been.	これは、常にそれがされている方法です。
I think it is best not to be impolite.	私はそれは失礼ではないことが最善だと思います。
One can always find time.	一つは、常に時間を見つけることができます。
I'd be unhappy, but I wouldn't kill myself.	私は不幸になると思いますが、私は自分自身を殺さないでしょう。
Back in high school, I got up at 6 a.m. every morning.	戻る高校で、私は毎朝午前6時に起きました。
When I woke up, I was sad.	私は目が覚めたとき、私は悲しかったです。
That is somewhat explained at the end.	それはやや終わりに説明されています。
I thought you liked to learn new things.	私はあなたが新しいことを学ぶのが好きと思いました。
Most people write about their daily life.	ほとんどの人は彼らの日常生活について書きます。
If I could send you a marshmallow, Trang, I would.	私はあなたにマシュマロ、トランを送ることができれば、私はだろう。
In order to do that, you have to take risks.	そのためには、あなたはリスクを取る必要があります。
Every person who is alone is alone because they are afraid of others.	彼らは他人のを恐れているので、一人ですべての人が一人です。
Why do you ask?	なぜ聞くのですか？
I am not an artist. I never had the knack for it.	私はアーティストではありませんよ。私はそれのための才能を持っていませんでした。
I can't tell her now. It's not that simple anymore.	私は今、彼女に言うことはできません。それはもうそれほど単純ではありません。
I am a flawed person, but these are flaws that can easily be fixed.	私は、欠陥のある人ですが、これらは簡単に固定することが可能な欠陥です。
Whenever I find something I like, it's too expensive.	私が好きなものを見つけるたびに、それはあまりにも高価です。
How long did you stay?	どのくらい滞在し（まし）たか？
Maybe it will be exactly the same for him.	多分それは彼のためにまったく同じになります。
Innocence is a beautiful thing.	イノセンスは美しいものです。
Humans were never meant to live forever.	人間は永遠に生きることを意図されませんでした。
I don't want to lose my ideas, even though some of them are a bit extreme.	私はそれらのいくつかはビット極端であっても、私の考えを失いたくありません。
I think I have a theory about that.	私はそのことについて理論を持っていると思います。
That is intriguing.	それは興味をそそられます。
You are saying you intentionally hide your good looks?	あなたが意図的に自分の美貌を隠す言っていますか？
I do not have an account in these forums.	私はこれらのフォーラムでアカウントを持っていません。
If anyone was to ask what the point of the story is, I really don't know.	誰もが物語のポイントが何であるかを尋ねることだった場合、私は本当に知りません。
I didn't know where it came from.	それはどこから来たのか私は知りませんでした。
I think my living with you has influenced your way of living.	私はあなたと私の生活は、生活のあなたの方法に影響を与えたと思います。
This is not important.	これは重要ではありません。
I didn't like it.	私はそれを好きではなかったです。
She's asking how that's possible.	彼女はそれが可能だ方法を求めています。
You're just running away from life's problems.	あなただけの人生の問題から離れて実行しています。
If you look at the lyrics, they don't really mean much.	あなたが歌詞を見れば、彼らは本当に多くを意味するものではありません。
There's a problem there that you don't see.	あなたが見ていないことがある問題があります。
You can do it.	あなたはそれを行うことができます。
My physics teacher doesn't care if I skip classes.	私はクラスをスキップする場合は、私の物理の先生は気にしません。
I wish I could go to Japan.	私は日本に行くことがしたいです。
I hate it when there are a lot of people.	多くの人々があるとき、私はそれを嫌います。
I have to go to bed.	私はベッドに行かなければなりません。
After that, I left, but then I realized that I forgot my backpack at their house.	その後、私は左が、その後、私は家で私のバックパックを忘れてしまったことに気づきました。
I won't ask you anything else today.	今日はあなたに何かを要求しません。
It may freeze next week.	それは来週フリーズすることがあります。
Even though he apologized, I'm still furious.	彼は謝罪にもかかわらず、私はまだ激怒です。
The police will get you to find the bullets.	警察はあなたが弾丸を見つけるようになるだろう。
Thanks for having explained to me at last why people take me for an idiot.	最後に私に説明したためのおかげで、なぜ人々は馬鹿のために私を取ります。
That wasn't my intention.	それは私の意図はなかったです。
Thanks for your explanation.	ご説明ありがとうございます。
Theoretically, I'm doing math.	理論的には、私は数学をやっています。
If you didn't know me that way then you simply didn't know me.	あなたが私にその方法を知らなかったなら、あなたは単に私を知りませんでした。
It almost scared me not to see you online for a whole day.	それはほとんど一日中オンラインあなたを見ていない私を怖がらせました。
I don't know what you mean.	私はあなたが何を意味するのか分かりません。
My computer has got to be useful for something.	私のコンピュータは何かのために有用であることが持っています。
You wanted to tell me about freedom?	あなたは自由について教えしたいですか？
Uh, now it's really weird...	ええと、今では本当に奇妙です...
If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.	私はあなたを怖がらせるために望んでいた場合、私は私が数週間前に夢見て何を言うだろう。
One can't expect everything from schools.	一つは、学校からすべてを期待することはできません。
There are many words that I don't understand.	私は理解していないことを多くの単語があります。
I don't like it when mathematicians who know much more than I do can't express themselves explicitly.	はるかに私よりも知っている数学者が明示的に自分自身を表現することができないとき、私はそれが好きではありません。
You're really not stupid.	あなたは本当に愚かではないです。
I need to ask you a silly question.	私はあなたの愚かな質問をする必要があります。
I don't know how to demonstrate it, since it's too obvious!	私はそれがあまりにも明白だから、それを証明する方法がわかりません！
I wouldn't have thought I would someday look up "Viagra" in Wikipedia.	私はいつかウィキペディアで「バイアグラ」を調べるだろうと思っていないでしょう。
Can it be phrased in another way?	それは別の方法で言うこともできますか？
No one will know.	誰もが知っているだろう。
I found a solution, but I found it so fast that it can't be the right solution.	私は解決策を見つけたが、私は非常に速く、それが正しい解決策になることができないということを発見しました。
It seems interesting to me.	それは私には面白いようです。
Except that here, it's not so simple.	ここでは、それはそう単純ではないことを除いて。
I like candlelight.	私はろうそくが好き。
What did you answer?	あなたは何を答えたのですか？
No, he's not my new boyfriend.	いいえ、彼は私の新しいボーイフレンドではありません。
It's too bad that I don't need to lose weight.	それは私が失う重量を必要としないことを残念です。
You never have class or what?!	あなたは、クラスまたは何を持っていることはありません！
I will play Sudoku then instead of continuing to bother you.	私がお邪魔し続けることの代わりに、その後数独を再生します。
Where is the problem?	問題はどこにありますか？
I can only wait.	私は待つことができます。
It's not much of a surprise, is it?	それは驚きのあまりないですが、それを何ですか？
I love you.	わたしは、あなたを愛しています。
I don't like you anymore.	私はもうあなたが好きではありません。
I am curious.	気になります。
Congratulations!	おめでとう！
I don't want to wait that long.	私は長いことを待ちたくありません。
Why don't you come visit us?	なぜあなたは私たちを訪問しに来ませんか？
But the possibility seems unlikely.	しかし、可能性は考えにくいです。
I shouldn't have logged off.	私は、ログオフしているべきではありません。
I don't know what to do anymore.	私はもう何をするか分かりません。
It is inevitable that I go to France someday, I just don't know when.	私がちょうどその時を知らない、私はフランスのいつかに行くことは避けられません。
I hate chemistry.	私は化学を憎みます。
I didn't want this to happen.	私はこれが起こることを望んでいませんでした。
You can probably guess what happens though.	おそらくかかわらず、何が起こるかを推測することができます。
Next thing you know, you'll be in the papers.	あなたが知っている次のことは、あなたが論文になります。
What other options do I have?	私は他のどのようなオプションがありますか？
I am not much of a traveller.	私は、旅行者の多くはないです。
I have nothing better to do.	私が行うには良い何もありません。
I can't explain it either.	私はどちらかそれを説明することはできません。
Everyone has strengths and weaknesses.	誰もが長所と短所を持っています。
Seriously though, episode 21 made me almost cry while laughing.	冗談はさておき、エピソード21は笑っている間、私はほとんど泣きました。
It only shows you're not a robot.	それだけであなたはロボットじゃない示しています。
How could I be a robot? Robots don't dream.	どのように私はロボットだろうか？ロボットは、夢はありません。
It's not something anyone can do.	それは誰もが行うことができるものではありません。
I don't know if I still have it.	私はまだそれを持っている場合、私は知りません。
What do you think I've been doing?	あなたは私が何をしてきたと思いますか？
Don't underestimate my power.	私の力を過小評価しないでください。
My mom doesn't speak English very well.	私の母は非常によく英語を話すことはありません。
I don't speak French well enough!	私はフランスのウェル十分に話すことはありません！
I was wondering if you were going to show up today.	あなたが今日に表示するつもりだった場合、私は思っていました。
Therein lies the problem.	そこでは、問題があります。
How do you find food in outer space?	どのように宇宙空間で食べ物を見つけるのですか？
All you can do is trust one another.	あなたがすることができるすべては、信頼互いです。
Everyone wants to meet you. You're famous!	誰もがあなたに会いたがっています。あなたは有名です！
Why are you sorry for something you haven't done?	なぜあなたは行っていない何かのために申し訳ありませんか？
I utterly despise formal writing!	私は全く正式な書面を軽蔑しました！
Foreign people intrigue me.	外国人は私を陰謀。
Whatever I do, she says I can do better.	私は何でも、彼女は私がよりよく行うことができますと言います。
What keeps you up so late?	何がそう遅くあなたを保ちますか？
You'd be surprised what you can learn in a week.	あなたは週に学ぶことができるか驚かれると思います。
I don't have anyone who'd travel with me.	私は私と一緒に旅行したい人を持っていません。
You're not fast enough.	あなたは十分に速くはありません。
Life is hard, but I am harder.	人生は難しいですが、私は難しいと思います。
Bearing can be unbearable.	ベアリングは耐え難いことができます。
Stop it! You're making her feel uncomfortable!	やめて！あなたは彼女が不快に感じる作っています！
Nothing is beautiful but the truth.	何も美しいが、真実ではありません。
Tomorrow, he will land on the moon.	明日、彼が月面に着陸します。
I don't speak Japanese.	私は日本語が話せません。
This is a pun.	これはしゃれです。
Nobody understands me.	誰も私を理解していません。
I learned to live without her.	私は彼女なしで生きることを学びました。
It's useless to keep on thinking any more.	これは、任意のより多くの思考に保つために無用です。
